tweet_id,favorite_count,retweet_count,url,created_at,tweet_source
826240494070030336,14385,2905,https://t.co/srXL2s868C,Tue Jan 31 01:27:39 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
826204788643753985,5284,1054,https://t.co/1httNYrCeW https://t.co/KvaM8j3jhX,Mon Jan 30 23:05:46 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
826115272272650244,17012,3516,https://t.co/6gHoGah9nm,Mon Jan 30 17:10:04 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
825876512159186944,11350,2099,https://t.co/feNwTq12S5,Mon Jan 30 01:21:19 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
825829644528148480,13814,2794,https://t.co/YimNdkZrhM,Sun Jan 29 22:15:05 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
825535076884762624,56455,19311,https://t.co/804eeysJkI,Sun Jan 29 02:44:34 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
825147591692263424,19879,5134,https://t.co/AyBEmx56MD,Sat Jan 28 01:04:51 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
825120256414846976,0,1445,https:/…,Fri Jan 27 23:16:13 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
825026590719483904,6908,1445,https://t.co/HGMMHsgGXm,Fri Jan 27 17:04:02 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
824796380199809024,0,6160,https://t.co/ivPWhspN3E,Fri Jan 27 01:49:15 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
824775126675836928,16272,3962,https://t.co/OEJq2JR8Ix,Fri Jan 27 00:24:48 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
824663926340194305,10937,1950,https://t.co/A5Mx4h1FSM,Thu Jan 26 17:02:56 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
824325613288833024,12796,11640,https://t.co/wBmc7OaGvS,Wed Jan 25 18:38:36 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
824297048279236611,16332,4348,https://t.co/EmJbG0skLt,Wed Jan 25 16:45:05 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
824025158776213504,5183,666,https://t.co/50qq2DItPW,Tue Jan 24 22:44:42 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
823939628516474880,11562,3047,https://t.co/m0hrATIEyw,Tue Jan 24 17:04:50 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
823719002937630720,0,12671,https://t.co/T7Jr4Gw4sC,Tue Jan 24 02:28:08 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
823699002998870016,13648,2711,https://t.co/RsMs6iThDO,Tue Jan 24 01:08:40 +0000 2017,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
